0000003973	Cd36_81450	50.000	14	7	0	212	225	151	164	3.7	20.0
0000003973	Cd36_18070	24.390	41	27	1	337	377	301	337	6.3	19.2
0000003973	Cd36_18070	47.368	19	10	0	152	170	2003	2021	7.3	18.9
0000003973	Cd36_87720	39.130	23	14	0	204	226	387	409	8.8	18.9
0000003973	Cd36_53410	21.569	51	38	2	46	95	642	691	9.4	18.5
0000004526	Cd36_18070	29.412	51	27	1	24	65	949	999	2.0	21.2
0000004526	Cd36_18070	36.364	33	17	1	339	371	1286	1314	2.7	20.8
0000004526	Cd36_18070	29.032	31	22	0	3	33	1085	1115	8.0	19.2
0000004526	Cd36_87720	33.333	39	25	1	236	274	644	681	2.1	20.8
0000004526	Cd36_53410	54.545	11	5	0	335	345	777	787	5.6	19.6
0000004526	Cd36_81450	16.667	48	29	1	336	383	2466	2502	6.7	19.2
0000004526	Cd36_81450	46.154	13	7	0	255	267	220	232	7.0	19.2
0000000498	Cd36_81450	34.091	44	20	1	4	47	2168	2202	0.024	25.8
0000000498	Cd36_81450	24.194	62	41	2	128	183	2134	2195	3.4	18.9
0000000498	Cd36_81450	66.667	9	3	0	70	78	1186	1194	8.4	17.7
0000000498	Cd36_18070	46.667	15	8	0	15	29	110	124	5.3	18.1
0000001493	Cd36_81450	38.095	42	20	2	199	240	82	117	1.3	21.6
0000001493	Cd36_81450	27.869	61	38	2	307	362	894	953	4.2	19.6
0000001493	Cd36_81450	24.490	49	32	1	305	348	2743	2791	5.2	19.2
0000001493	Cd36_19000	33.333	78	37	6	178	248	396	465	3.8	19.6
0000001493	Cd36_19000	23.881	67	35	2	7	60	453	516	7.1	18.9
0000001493	Cd36_87720	42.105	19	11	0	71	89	470	488	5.5	19.2
0000001493	Cd36_18070	20.968	62	43	1	135	190	354	415	5.9	19.2
0000001455	Cd36_22730	28.272	191	103	8	16	188	11	185	1.06e-12	58.9
0000001455	Cd36_18070	38.462	26	16	0	80	105	1223	1248	0.53	22.7
0000001455	Cd36_18070	46.154	13	7	0	352	364	299	311	7.6	18.9
0000001455	Cd36_53410	29.730	37	26	0	285	321	64	100	0.98	21.6
0000001455	Cd36_53410	58.333	12	5	0	103	114	413	424	4.7	19.6
0000001455	Cd36_19000	34.483	29	19	0	125	153	333	361	1.3	21.2
0000001455	Cd36_81450	30.769	52	30	1	40	91	1102	1147	4.7	19.6
0000001455	Cd36_81450	30.769	26	18	0	233	258	960	985	8.4	18.9
0000001455	Cd36_81450	60.000	10	4	0	76	85	1100	1109	9.5	18.5
0000001455	Cd36_81260	28.571	49	31	2	114	162	138	182	5.0	19.2
0000001455	Cd36_61380	28.037	107	65	6	95	193	65	167	6.6	18.9
0000001455	Cd36_87720	33.333	33	19	2	175	207	598	627	9.4	18.5
0000065140	Cd36_20890	63.636	11	4	0	258	268	778	788	1.2	21.9
0000065140	Cd36_18070	23.214	56	40	1	156	211	742	794	3.0	20.4
0000065140	Cd36_18070	24.561	57	33	2	231	287	1701	1747	4.9	19.6
0000002583	Cd36_61380	26.000	100	73	1	165	264	131	229	1.31e-04	35.0
0000002583	Cd36_61380	21.918	73	52	3	155	226	493	561	5.9	20.0
0000002583	Cd36_61380	32.000	25	17	0	198	222	215	239	9.8	19.2
0000002583	Cd36_81260	25.170	147	84	4	465	599	532	664	0.034	27.3
0000002583	Cd36_18070	26.923	52	31	2	193	237	2188	2239	6.4	20.0
0000002583	Cd36_18070	35.484	31	20	0	7	37	68	98	9.8	19.2
0000005242	Cd36_18070	20.408	49	39	0	379	427	964	1012	5.0	20.0
0000005242	Cd36_87720	71.429	7	2	0	533	539	693	699	5.3	20.0
0000005242	Cd36_81450	53.846	13	6	0	304	316	1215	1227	8.8	19.2
0000005242	Cd36_19000	36.585	41	22	2	113	151	441	479	8.8	19.2
0000065514	Cd36_53410	28.049	82	44	2	53	126	405	479	2.6	21.2
0000065514	Cd36_53410	23.881	67	40	2	116	182	327	382	5.8	20.0
0000065514	Cd36_18070	23.077	65	37	2	221	274	1895	1957	6.0	20.0
0000000656	Cd36_22730	25.641	78	50	2	482	558	90	160	0.72	23.5
0000000656	Cd36_31890	38.298	47	23	2	734	775	389	434	0.78	23.5
0000000656	Cd36_18070	27.586	58	40	2	679	734	1203	1260	1.0	23.1
0000000656	Cd36_18070	30.435	23	16	0	666	688	451	473	3.9	21.2
0000000656	Cd36_18070	24.074	54	37	1	93	146	1371	1420	4.0	21.2
0000000656	Cd36_18070	25.532	94	49	4	475	547	309	402	7.6	20.4
0000000656	Cd36_19000	36.111	36	22	1	84	119	358	392	3.0	21.6
0000000656	Cd36_19000	29.333	75	43	3	316	384	153	223	7.9	20.4
0000000656	Cd36_81450	50.000	18	9	0	315	332	969	986	9.1	20.0
